machine_type,task_type,time_of_day,weather_condition,month,day_of_week,context_risk_score,hazard_type,severity_score
Excavator,General Construction,Unknown,Clear/Unknown,1,Wednesday,24.96,Other,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Wednesday,67.36,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,2,Thursday,77.45,Struck-by,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,50.92,Fall,1.0
Aerial Lift,General Construction,Unknown,Muddy,2,Monday,57.69,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Tuesday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Wednesday,60.57,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,2,Friday,45.57,Struck-by,1.0
Truck,General Construction,Evening,Clear/Unknown,2,Friday,80.65,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Monday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,2,Monday,24.35,Other,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,2,Tuesday,39.66,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,2,Wednesday,36.56,Collision,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Wednesday,41.43,Burns,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Thursday,38.65,Fall,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,34.2,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,2,Monday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Tuesday,55.45,Struck-by,1.0
Roller,Operating,Unknown,Clear/Unknown,2,Tuesday,39.65,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,2,Tuesday,34.2,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Wednesday,37.29,Caught-in,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Wednesday,45.36,Struck-by,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,61.44,Pinch-Point,4.0
Forklift,Setup/Positioning,Unknown,Clear/Unknown,2,Wednesday,40.9,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,2,Wednesday,62.14,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,2,Wednesday,45.57,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Thursday,45.36,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Thursday,42.67,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,2,Saturday,34.2,Fall,1.0
Forklift,General Construction,Unknown,Snow/Ice,2,Tuesday,80.64,Caught-in,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,34.44,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Friday,43.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,3,Saturday,41.18,Electrocution,1.0
Forklift,Operating,Unknown,Clear/Unknown,3,Sunday,41.8,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Monday,58.9,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,3,Thursday,77.45,Struck-by,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,37.54,Fall,1.0
Crane,Operating,Unknown,Rain,3,Tuesday,52.33,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,56.17,Pinch-Point,3.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Wednesday,57.62,Fall,3.0
Truck,General Construction,Unknown,Clear/Unknown,3,Wednesday,48.99,Electrocution,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,3,Thursday,34.84,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Thursday,24.35,Other,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,3,Thursday,34.84,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,3,Thursday,37.54,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Thursday,25.71,Other,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,3,Monday,32.86,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Tuesday,45.57,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Thursday,50.14,Pinch-Point,3.0
Forklift,General Construction,Unknown,Muddy,3,Friday,37.4,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Friday,50.92,Fall,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,3,Friday,38.48,Struck-by,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,3,Monday,38.48,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Tuesday,46.43,Struck-by,1.0
Loader,Operating,Unknown,Clear/Unknown,3,Wednesday,40.44,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Wednesday,43.45,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,3,Thursday,40.79,Electrocution,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,3,Thursday,40.79,Electrocution,1.0
Forklift,Operating,Unknown,Clear/Unknown,3,Friday,51.19,Pinch-Point,3.0
Roller,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,34.03,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Tuesday,59.29,Caught-in,3.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Tuesday,43.83,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Wednesday,46.43,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,34.2,Fall,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,34.2,Fall,1.0
Dump Truck,Operating,Unknown,Clear/Unknown,4,Thursday,33.45,Fall,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,4,Friday,62.34,Struck-by,3.0
Crane,General Construction,Unknown,Clear/Unknown,4,Friday,36.59,Burns,1.0
Excavator,Setup/Positioning,Unknown,Clear/Unknown,4,Monday,39.96,Struck-by,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,4,Monday,32.86,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,4,Monday,50.06,Pinch-Point,3.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Saturday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,47.19,Caught-in,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,37.64,Collision,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,4,Thursday,72.83,Struck-by,4.0
Loader,General Construction,Night,Clear/Unknown,4,Monday,86.9,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,42.67,Struck-by,1.0
Grader,Loading/Unloading,Unknown,Wind,4,Wednesday,53.71,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,48.99,Electrocution,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,34.82,Pinch-Point,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,40.06,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Saturday,69.19,Caught-in,3.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,39.34,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,4,Tuesday,41.8,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Wednesday,43.58,Tip-over,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Thursday,45.57,Struck-by,1.0
Backhoe,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,38.96,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,5,Tuesday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,5,Tuesday,39.66,Struck-by,1.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,5,Wednesday,42.0,Struck-by,1.0
Excavator,Operating,Unknown,Clear/Unknown,5,Wednesday,40.61,Struck-by,1.0
Truck,Mounting/Dismounting,Unknown,Clear/Unknown,5,Wednesday,45.75,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,5,Wednesday,48.3,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Wednesday,43.49,Tip-over,1.0
Roller,General Construction,Unknown,Clear/Unknown,5,Friday,41.97,Tip-over,1.0
Crane,Loading/Unloading,Unknown,Wind,5,Friday,66.76,Fall,1.0
Crane,Operating,Unknown,Clear/Unknown,5,Monday,35.98,Fall,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,34.84,Fall,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,34.2,Fall,1.0
Pile Driver,Maintenance,Unknown,Clear/Unknown,5,Wednesday,33.65,Caught-in,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,5,Wednesday,40.53,Tip-over,1.0
Excavator,Operating,Unknown,Clear/Unknown,5,Thursday,40.61,Struck-by,1.0
Crane,General Construction,Unknown,Rain,5,Thursday,38.38,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Friday,47.52,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Saturday,46.43,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,5,Tuesday,43.45,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,5,Tuesday,33.05,Fall,1.0
Loader,Loading/Unloading,Unknown,Muddy,5,Tuesday,50.1,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,5,Wednesday,40.63,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,5,Wednesday,36.9,Caught-in,1.0
Paver,Operating,Unknown,Clear/Unknown,5,Wednesday,38.13,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Thursday,43.86,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,5,Thursday,41.97,Tip-over,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,34.44,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,50.92,Fall,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,5,Tuesday,51.35,Tip-over,2.0
Crane,General Construction,Unknown,Clear/Unknown,5,Wednesday,45.57,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,5,Thursday,48.3,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,5,Thursday,45.36,Struck-by,1.0
Pile Driver,General Construction,Unknown,Clear/Unknown,5,Thursday,37.53,Struck-by,1.0
Concrete Pump,General Construction,Unknown,Clear/Unknown,5,Friday,40.58,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Saturday,43.45,Struck-by,1.0
Excavator,Operating,Unknown,Clear/Unknown,6,Monday,40.61,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Monday,55.45,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Wednesday,58.9,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,6,Thursday,67.57,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Thursday,60.57,Caught-in,3.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,6,Friday,40.79,Electrocution,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Friday,47.19,Caught-in,1.0
Paver,General Construction,Unknown,Clear/Unknown,6,Tuesday,22.83,Other,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,6,Tuesday,36.72,Collision,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Tuesday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Wednesday,45.36,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,6,Wednesday,62.06,Struck-by,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Thursday,50.92,Fall,1.0
Truck,Setup/Positioning,Unknown,Clear/Unknown,6,Thursday,64.0,Caught-in,3.0
Loader,General Construction,Unknown,Clear/Unknown,6,Thursday,43.45,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,6,Thursday,34.2,Fall,1.0
Loader,Operating,Unknown,Clear/Unknown,6,Friday,40.44,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Friday,66.45,Struck-by,2.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,6,Monday,64.0,Struck-by,3.0
Loader,Excavation,Unknown,Clear/Unknown,6,Monday,39.69,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Monday,47.52,Struck-by,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,6,Tuesday,50.7,Electrocution,2.0
Truck,Operating,Unknown,Clear/Unknown,6,Tuesday,81.3,Struck-by,4.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Wednesday,47.71,Other,3.0
Truck,Operating,Unknown,Clear/Unknown,6,Wednesday,30.51,Other,1.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Thursday,46.43,Struck-by,1.0
Truck,Maintenance,Unknown,Clear/Unknown,6,Thursday,40.81,Burns,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Friday,50.92,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Saturday,65.45,Struck-by,3.0
Crane,Maintenance,Unknown,Clear/Unknown,6,Monday,59.84,Caught-in,3.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,6,Monday,34.2,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Tuesday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Tuesday,55.45,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,6,Wednesday,41.05,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Wednesday,43.45,Struck-by,1.0
Excavator,Maintenance,Unknown,Clear/Unknown,6,Friday,24.53,Other,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,6,Saturday,43.83,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,7,Tuesday,73.44,Electrocution,4.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,62.25,Pinch-Point,4.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,38.65,Fall,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,40.95,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Wednesday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Monday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,7,Wednesday,46.43,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Thursday,42.1,Tip-over,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Friday,50.92,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Monday,65.45,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,7,Monday,43.16,Tip-over,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Monday,34.04,Fall,1.0
Backhoe,Operating,Unknown,Clear/Unknown,7,Monday,38.71,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,65.83,Struck-by,3.0
Loader,Operating,Unknown,Clear/Unknown,7,Tuesday,33.85,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Wednesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Wednesday,55.45,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,7,Thursday,62.34,Struck-by,3.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,38.65,Fall,1.0
Crane,General Construction,Unknown,Heat,7,Friday,62.15,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Friday,43.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Saturday,69.19,Caught-in,3.0
Roller,Loading/Unloading,Unknown,Clear/Unknown,7,Monday,34.55,Burns,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Monday,38.65,Fall,1.0
Crane,Loading/Unloading,Unknown,Heat,7,Monday,35.89,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,42.96,Caught-in,1.0
Crane,General Construction,Unknown,Clear/Unknown,7,Tuesday,45.57,Struck-by,1.0
Loader,Operating,Unknown,Clear/Unknown,7,Wednesday,40.44,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Wednesday,48.99,Electrocution,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,37.54,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Friday,48.99,Electrocution,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,7,Friday,36.5,Collision,1.0
Truck,Operating,Unknown,Clear/Unknown,7,Saturday,30.51,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Monday,48.99,Electrocution,1.0
Crane,Loading/Unloading,Unknown,Wind,7,Monday,75.71,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,7,Tuesday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,50.92,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,7,Tuesday,30.51,Other,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Wednesday,78.36,Struck-by,4.0
Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Friday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Friday,45.36,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Friday,37.54,Fall,1.0
Aerial Lift,Loading/Unloading,Unknown,Wind,8,Saturday,59.07,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Saturday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Monday,60.57,Caught-in,3.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,8,Tuesday,34.84,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,8,Wednesday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Wednesday,48.99,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Wednesday,51.69,Pinch-Point,3.0
Crane,General Construction,Unknown,Clear/Unknown,8,Wednesday,78.57,Struck-by,4.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,8,Wednesday,34.2,Fall,1.0
Forklift,Operating,Unknown,Clear/Unknown,8,Thursday,74.8,Struck-by,4.0
Truck,General Construction,Unknown,Heat,8,Friday,43.47,Other,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,8,Monday,36.56,Collision,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Monday,38.65,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,8,Monday,40.17,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,8,Tuesday,40.79,Electrocution,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,8,Wednesday,62.34,Struck-by,3.0
Aerial Lift,General Construction,Unknown,Rain,8,Monday,36.47,Contact-with,1.0
Crane,General Construction,Unknown,Clear/Unknown,8,Monday,48.38,Other,3.0
Loader,Excavation,Unknown,Clear/Unknown,8,Tuesday,39.69,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,8,Wednesday,45.57,Struck-by,1.0
Crane,Operating,Unknown,Clear/Unknown,8,Thursday,43.46,Tip-over,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Friday,43.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Tuesday,25.71,Other,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Tuesday,37.54,Fall,1.0
Paver,General Construction,Unknown,Clear/Unknown,8,Tuesday,60.2,Struck-by,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Tuesday,37.54,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Friday,45.36,Struck-by,1.0
Forklift,Setup/Positioning,Unknown,Clear/Unknown,9,Tuesday,62.9,Struck-by,3.0
Loader,General Construction,Unknown,Clear/Unknown,9,Tuesday,36.9,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Wednesday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Wednesday,39.66,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,50.92,Fall,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,40.06,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,9,Saturday,40.06,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Saturday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Sunday,48.99,Electrocution,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Monday,47.19,Caught-in,1.0
Excavator,Excavation,Unknown,Rain,9,Monday,59.7,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,34.2,Fall,1.0
Truck,Maintenance,Unknown,Clear/Unknown,9,Tuesday,32.46,Contact-with,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Thursday,47.52,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,9,Thursday,43.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Thursday,46.43,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Thursday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Friday,40.47,Tip-over,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,34.2,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,43.83,Struck-by,1.0
Loader,Operating,Unknown,Clear/Unknown,9,Tuesday,40.44,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,34.2,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Thursday,68.43,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Thursday,46.43,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Friday,39.66,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Friday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Monday,40.79,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Monday,29.69,Pinch-Point,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Monday,44.08,Collision,1.0
Crane,Operating,Unknown,Clear/Unknown,9,Wednesday,51.98,Pinch-Point,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,37.54,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Monday,55.45,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Monday,40.34,Struck-by,1.0
Forklift,Maintenance,Unknown,Clear/Unknown,10,Tuesday,35.0,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,47.52,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Thursday,46.35,Other,3.0
Bulldozer,Maintenance,Unknown,Clear/Unknown,10,Friday,54.82,Other,4.0
Forklift,General Construction,Unknown,Clear/Unknown,10,Monday,68.43,Struck-by,3.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Tuesday,46.96,Other,3.0
Crane,Mounting/Dismounting,Unknown,Clear/Unknown,10,Wednesday,41.53,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Wednesday,50.92,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Thursday,65.45,Struck-by,3.0
Roller,General Construction,Unknown,Wet Surface,10,Thursday,51.35,Collision,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Friday,41.43,Burns,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Sunday,81.99,Electrocution,4.0
Paver,General Construction,Unknown,Clear/Unknown,10,Monday,32.45,Fall,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,34.2,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Wednesday,45.36,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,10,Thursday,35.12,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Thursday,47.19,Caught-in,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,10,Thursday,36.56,Collision,1.0
Truck,Operating,Unknown,Clear/Unknown,10,Thursday,40.63,Fall,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,10,Friday,61.66,Struck-by,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,10,Friday,37.54,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,10,Saturday,45.57,Struck-by,1.0
Loader,Setup/Positioning,Unknown,Clear/Unknown,10,Saturday,39.57,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,10,Sunday,38.65,Fall,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,10,Monday,40.95,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,47.52,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,10,Thursday,43.83,Struck-by,1.0
Loader,Operating,Unknown,Clear/Unknown,10,Thursday,40.44,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,10,Thursday,24.53,Other,1.0
Truck,Maintenance,Unknown,Clear/Unknown,10,Friday,40.13,Fall,1.0
Forklift,Operating,Unknown,Clear/Unknown,10,Friday,38.85,Collision,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Friday,45.36,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,10,Friday,57.71,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,10,Saturday,77.45,Struck-by,3.0
Aerial Lift,Operating,Unknown,Clear/Unknown,10,Saturday,32.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Monday,48.99,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,10,Monday,38.57,Caught-in,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Monday,45.36,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Monday,28.41,Pinch-Point,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Tuesday,24.35,Other,1.0
